"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"48"	40	0.983901249251287	0.319219717811753	4.32454701377127	0.018590826904395	1.79588273719886	0.0182708288043433	0.780194148889351	0.000296583040995548	0.78135085819624	-0.00668180991835527
"49"	45	0.644622445553495	0.209143138420951	3.86587906758445	0.0251720544222467	1.74401605380239	0.0193249758794039	0.740519339830203	0.00021547116505861	0.957124292418726	0.000967751672999659
"50"	50	0.363655905599985	0.117985555618048	4.2148103787348	0.0181710975848263	1.90296055657402	0.0102890258510254	0.8441587321994	0.000383605654192158	0.930806488143562	0.0024010229411905
"51"	5	0.893739383194752	0.289967345724768	1.40883074024414	0.0184477657813589	2.00019710138615	0.000844622453357838	0.998812883798923	3.05265640409918e-05	0.0848494734287734	-0.00904866058814656
"52"	10	1.15851516584147	0.375871953208688	1.90721062897921	0.0173279222335351	1.9994738528328	0.000786269485478138	0.997606283558155	3.31762416308166e-05	0.182235903374326	-0.00088669640066661
"53"	15	1.27639870058689	0.414118422277327	2.39154577471336	0.0174841472359467	1.99738669583938	0.000898835196566185	0.995761170753442	3.89947021821692e-05	0.2958715162422	-0.00158935865504973
"54"	20	1.21344033740797	0.393692031983427	2.54254314336731	0.0133534979197108	1.99319331269432	0.00201933493975877	0.987294019587321	9.8296545204317e-05	0.363693716241189	0.00657635010403633
"55"	25	1.21762655967249	0.395050221833264	3.63706582329028	0.0161720076718864	1.99328972387068	0.00167333304013909	0.986981428633299	0.00014718549698185	0.503107256683588	-0.00713889348081439
"56"	30	1.24410045843645	0.403639488793988	4.55501203626694	0.0170874299744469	1.96790433385027	0.00457283731553431	0.95650123403671	0.00035752702628899	0.627134264091688	-0.0068229784812586
"57"	35	0.909640413837017	0.295126321301232	3.66034469534573	0.0201308269267149	1.96329001914878	0.00513650527146291	0.943220384824114	0.000319568318599208	0.639801630353298	0.0147457970830349
"58"	40	1.04254302246751	0.338245621389278	5.51429781905531	0.031460845789134	1.80545421747313	0.0114787136718495	0.84479537665417	0.000533934060217445	0.837282001313043	-0.00856845269124072
"59"	45	0.590092033396186	0.191451136510941	4.5096313975733	0.0150984492684071	1.88884573849662	0.0113743193612028	0.843772274188152	0.00038485368281892	0.80824216123522	-0.000483333198573916
"60"	50	0.50103298874145	0.162556566934063	3.82327048417002	0.0195584969373009	1.84380750850982	0.0138828003867515	0.792392926011205	0.00033810099606153	1.02675600416341	0.00482915643867412
"61"	5	0.81939751331825	0.265847658162999	1.31214964284643	0.0166774375234668	2.00119737840901	0.000867048439616252	0.998706714583306	2.41034319473995e-05	0.118280365789128	0.0339667152728934
"62"	10	1.00735503035712	0.32682912921551	1.80533736898616	0.0142252306469744	2.00060229473434	0.000764516365549934	0.997715537281351	3.97001533941612e-05	0.21958671249642	0.013148137734471
"63"	15	0.951071294916783	0.30856827411615	2.15923890444583	0.0138937024197191	2.00114372962426	0.000831107465092206	0.996192820349819	5.19370856646442e-05	0.317925579060975	-0.00291379195937994
"64"	20	1.25720916509542	0.407892514840798	3.04337161401738	0.0251585813007295	1.99096978668114	0.00175572538618988	0.988834543383497	0.000113576262346343	0.388271515367958	-0.00535602897434048
"65"	25	1.34498388201669	0.436370393477435	3.13760343258342	0.0130324949050253	1.98488227570875	0.003230399056022	0.974420871973248	0.000140005729383272	0.441647626425642	0.0064803902808143
"66"	30	0.96895569585973	0.314370739990225	2.99635009543607	0.015238756025131	1.987011326382	0.00310523724497993	0.971022962683201	0.000254633330875796	0.588624748787635	0.0117373394422068
"67"	35	1.01762093609175	0.330159828850441	4.87647469856907	0.029102372321224	1.88695793257568	0.00926562519467973	0.893902133207674	0.00054522807254577	0.669030874570876	-0.0052083402240962
"68"	40	0.886638297137686	0.28766344918127	4.23338924123766	0.0240797819906855	1.89540742209518	0.0108678858642998	0.865410262694987	0.000534065329851536	0.805971721973232	0.00738073966960168
"69"	45	0.720713520157049	0.233830342936062	4.54622261744788	0.0362364729584761	1.78677455212914	0.0152812232595133	0.787157923299214	0.000496228351802245	0.921417118720253	0.00117896627358759
"70"	50	0.63349583641693	0.205533189727951	4.59397816919241	0.0278345509775535	1.69012610628524	0.0178661693530906	0.724786759531515	0.00035426420355326	1.08933915840479	0.000345228597932502
"71"	5	0.813295161689613	0.263867793856125	1.33103900640531	0.0208723425737393	2.00027988712066	0.000842363016651756	0.998754540743217	2.31813460320711e-05	0.0926679691345589	0.0132458961542621
"72"	10	1.2222729884686	0.396557722398242	2.10403105055074	0.0177097994486014	2.0000209524158	0.000949292920070934	0.997084968644608	3.4038531379338e-05	0.215590739176344	-0.0217881396145133
"73"	15	1.28641828178632	0.417369203679941	2.36438834437623	0.0252333299513576	2.0015230550389	0.000905197882609063	0.995854755244916	5.79928302493303e-05	0.309239684391135	-0.0111867240876808
"74"	20	1.36964515732161	0.444371567731157	3.11078084300427	0.0186116554689764	1.99732530056966	0.000999737373299086	0.993744546088128	5.60714211765349e-05	0.338863149565134	-0.0108036768564579
"75"	25	1.22296288464641	0.396781554275034	3.6018827162099	0.017815349288156	1.98251487420957	0.00229872391753697	0.981189128882745	0.000133688852529681	0.529790302284809	-0.00454697983787701
"76"	30	0.967366463063274	0.313855124784727	3.14380876003233	0.0142711902691258	1.99556828028673	0.00232651143917594	0.978396471562565	0.000173826776695174	0.637575946742062	0.00783921322999299
"77"	35	1.19201437280282	0.386740531128735	5.06844476322289	0.027529140527011	1.89845710493164	0.00801711613507798	0.907077518587027	0.000553879160242001	0.718568945305613	-0.00943948072588182
"78"	40	0.940718335459114	0.305209330523886	4.39612544357925	0.0298461235769243	1.70549510307158	0.0187123519149086	0.763021786376425	0.00042204670161825	0.794365697220792	-0.00494973164054683
"79"	45	0.752267397878883	0.244067772708506	4.64258573314445	0.0416228134374191	1.59532197162949	0.0216793390052012	0.695601875173734	0.00038848764779815	0.90830376529849	-0.00659064149218385
"80"	50	0.353568829475108	0.114712875969985	3.94783610679783	0.0155177981346177	1.88452685794739	0.0126039775810027	0.812805494313334	0.000270688613778693	0.984603639737352	0.003895082616837
"81"	5	0.745317202074333	0.241812831427404	1.25883257804725	0.0136903380434215	2.00002075134748	0.000814028373104538	0.998854086007562	2.92057817192202e-05	0.0609003611081767	0.0500741660887417
