"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"55"	25	1.34612869644627	0.436741820324831	3.45576750089531	0.0163141478119089	1.99987349434984	0.000877767906746794	0.993228499994493	6.98933162913188e-05	0.503107256683588	-0.00713889348081439
"56"	30	1.30808812079209	0.424399827838322	3.97412239712794	0.024085146310098	1.99692407208127	0.00111343399148181	0.989508803591771	6.34167956868519e-05	0.627134264091688	-0.0068229784812586
"57"	35	0.888725661853484	0.288340679722499	3.27091436805585	0.0214556265395897	1.99405850843263	0.00133691831028991	0.985377336695891	0.000140330907389311	0.639801630353298	0.0147457970830349
"58"	40	1.10847366622544	0.359636346842235	4.76519304581365	0.0231854098980022	1.98683568075972	0.00210401172971332	0.97393779075119	0.000329571451256129	0.837282001313043	-0.00856845269124072
"59"	45	0.878352054633667	0.284975037111597	4.1080078759432	0.0279317185579913	1.99534392198231	0.00217272034959126	0.97006742436961	0.000295607478115069	0.80824216123522	-0.000483333198573916
"60"	50	0.829995767898207	0.269286186001931	3.70164027681527	0.0166694491147053	1.97216001803298	0.00483738967781061	0.925849189841648	0.000463710536707929	1.02675600416341	0.00482915643867412
"61"	5	0.785241821450043	0.254766088413869	1.30762311652977	0.0199059843180357	2.00134173988816	0.000841113627278886	0.998755784898759	2.53910013472651e-05	0.118280365789128	0.0339667152728934
"62"	10	1.07760703217214	0.349621888358937	1.81634155796268	0.0229300891891073	2.00140392690351	0.000804174562086077	0.997543260233885	3.55069058203263e-05	0.21958671249642	0.013148137734471
"63"	15	1.08067727198359	0.350618005689787	2.15156777021134	0.0111003204368547	2.0003751781998	0.000839883479140211	0.996171839254535	5.39198055385138e-05	0.317925579060975	-0.00291379195937994
"64"	20	1.34472942097262	0.436287835413052	2.86480731987558	0.0172456541821906	1.99970347524045	0.000853567211875532	0.994743044440587	5.80005582087238e-05	0.388271515367958	-0.00535602897434048
"65"	25	1.3311564109949	0.431884169477837	2.9125996777962	0.0161036464988681	1.99950390199277	0.00105054559677886	0.99184336982639	6.78486313683255e-05	0.441647626425642	0.0064803902808143
"66"	30	1.16563704526034	0.378182596009591	2.85163371852766	0.0193904210495056	1.99950248904689	0.000974927996974723	0.990961431120161	8.76091233108308e-05	0.588624748787635	0.0117373394422068
"67"	35	1.24649605600512	0.404416723278083	4.25134924093393	0.0214279120238779	1.99124489805789	0.00166642853431169	0.982120301743697	0.000262000172859521	0.669030874570876	-0.0052083402240962
"68"	40	0.858498104569499	0.27853356512266	3.8051483180045	0.0208963602220207	1.98768177316982	0.00246382483576479	0.969857058645359	0.000390628875727443	0.805971721973232	0.00738073966960168
"69"	45	0.932963061530224	0.30269318740788	4.2654280952297	0.0316746178829471	1.97286101282947	0.00423034276796302	0.94179079520895	0.000642189044295816	0.921417118720253	0.00117896627358759
"70"	50	1.00434875819476	0.32585376573054	4.42401099664936	0.0293295342592208	1.94016499565635	0.00641752094576153	0.901578818943899	0.000930876092353298	1.08933915840479	0.000345228597932502
"71"	5	0.82229419147966	0.266787464658804	1.33562108425233	0.0197422381252386	1.99927230143877	0.000898052241051414	0.998753816382033	3.45006525849067e-05	0.0926679691345589	0.0132458961542621
"72"	10	1.2953971946006	0.420282347673826	2.11501318814646	0.0166646613122626	1.99898137393982	0.000891788337168771	0.997368696185908	5.16493352013124e-05	0.215590739176344	-0.0217881396145133
"73"	15	1.26670734670534	0.410974131878634	2.33450523114454	0.0178119313006901	2.00005706638299	0.000735152060106425	0.99663679677567	4.47995206223446e-05	0.309239684391135	-0.0111867240876808
"74"	20	1.22673898812357	0.398006684019837	2.97556677251282	0.0143054318117901	1.99995202391777	0.000815135397500908	0.99515934716404	8.7634053628421e-05	0.338863149565134	-0.0108036768564579
"75"	25	1.19342073790537	0.387196816219864	3.28654493498504	0.0142919901937983	1.99966690573957	0.000877252815845203	0.993222925018957	6.76296748263854e-05	0.529790302284809	-0.00454697983787701
"76"	30	1.00714547211614	0.326761139544186	2.98219416000306	0.0115652940707959	1.9990486346783	0.000913739802874747	0.991492949856167	7.44224948853608e-05	0.637575946742062	0.00783921322999299
"77"	35	1.19683478241085	0.388304478522829	4.3408962337761	0.0216035727237011	1.99380715153237	0.00146428367385707	0.983976735815313	0.000142280452073989	0.718568945305613	-0.00943948072588182
"78"	40	1.45441830218525	0.471875607798164	4.25143023679824	0.0248337556788236	1.95014726220194	0.00572833847221358	0.929146197365822	0.000844585296150003	0.794365697220792	-0.00494973164054683
"79"	45	1.42900735336804	0.463631207339346	4.56942284108738	0.0302984140663407	1.92356845802805	0.00735645674211192	0.897939974237362	0.00112545989396162	0.90830376529849	-0.00659064149218385
"80"	50	0.6346302977895	0.205901257600103	3.77802517524022	0.0161289293954278	1.98297410876008	0.00345855818029602	0.947300471014067	0.000535138369900983	0.984603639737352	0.003895082616837
"81"	5	0.742080193367574	0.240762607122158	1.24901182297124	0.0182569925403242	2.0004009107494	0.000891000777655687	0.998788536748455	3.61751143358911e-05	0.0609003611081767	0.0500741660887417
"82"	10	1.07126136968688	0.347563083586185	1.8297399210337	0.0176041496787827	2.00011457044152	0.000896850268624498	0.997387386470013	5.50289568926044e-05	0.130503176642987	-0.0024599740421695
"83"	15	1.2084093400609	0.392059760904731	2.29562340928332	0.0116188793775969	1.99901769212094	0.000836568278867057	0.996126216286561	4.27210637940012e-05	0.334058862916448	0.0044632946765393
"84"	20	1.51651868513925	0.492023632549289	2.83030274869205	0.018260523505471	1.99976861222239	0.000861452465974044	0.99464498097302	4.50771632509081e-05	0.4071694366527	-0.00120976062219565
"85"	25	1.23866282137177	0.401875286369536	2.98043748430482	0.0159663657171575	1.9990165832058	0.000898634561226412	0.99302790412689	6.2997029139069e-05	0.465556653142907	0.00963490250972017
"86"	30	1.23081228027333	0.399328234502269	3.48785315011185	0.0165752859695288	1.99945316631623	0.000942008739299629	0.991193360589948	6.26329846207688e-05	0.64565411318413	-0.000748182321808847
"87"	35	0.994515085040997	0.322663300862663	3.74592745695535	0.0172715027747281	1.99933562849967	0.00127225879097924	0.986274888004942	0.000133729639894871	0.661984018160493	0.00123023499208724
"88"	40	0.821111257409425	0.266403670166849	3.91978014228299	0.0137752514020362	1.9952186572182	0.00145031743141279	0.982191479133364	0.000210504393255357	0.744028685528475	-0.00529093838330373
"89"	45	0.745469038798985	0.24186209376591	3.97242288039554	0.0152802792774189	1.99660174934979	0.00142262812070002	0.980249941741488	0.000186604977220186	0.944084004411829	0.00285608068145511
"90"	50	0.733450173411046	0.237962658918688	4.0041629889335	0.0201578569615587	1.92825711852912	0.00855465297087512	0.870849449297046	0.000882505556883465	1.00776796485299	-0.000122347505745836
"91"	5	0.767467907070949	0.248999469114603	1.28389912696547	0.0184044283230962	2.00039403674048	0.00100139528076265	0.998605642177283	3.75727165202063e-05	0.0754749293270282	0.0342844939216854
