"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"dist_ls"	"dist_ls_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"61"	5	51.4812215498136	16.7027138427168	7.22283573742598	0.142401607657425	3.53806078662875	0.164996612096141	1.99293367945385	0.017684276147537	0.999225111228417	1.98375865936546e-05	0.118280365789128	0.0339667152728934
"62"	10	46.565260506554	15.1077654693947	6.93865595213164	0.16955096522229	4.06304796942785	0.125294873404285	2.01085076531886	0.0103574081507593	0.998927395127553	2.31045121945342e-05	0.21958671249642	0.013148137734471
"63"	15	41.0103204943924	13.3055049432567	6.63868940667662	0.156706469509498	4.73085051628773	0.163799293952764	1.99675949997885	0.00902482871778464	0.998174744836421	4.13111861281026e-05	0.317925579060975	-0.00291379195937994
"64"	20	36.9242317607222	11.979802700772	6.6315935588257	0.174134069979851	5.32094013334229	0.172793504405462	1.98268087344321	0.00780429697262954	0.99754306820614	3.48175162693304e-05	0.388271515367958	-0.00535602897434048
"65"	25	29.3543931700793	9.52382275296283	6.05206353455213	0.15089944084976	5.85390126790357	0.197905433265085	1.95670129142581	0.0086273734426146	0.995135607835308	6.27160475265479e-05	0.441647626425642	0.0064803902808143
"66"	30	24.2324983554602	7.86206064154323	5.58379086117663	0.149285716090657	6.24626320341248	0.189425581071238	1.99584103946338	0.00901411138245211	0.99272431743103	7.22241416283306e-05	0.588624748787635	0.0117373394422068
"67"	35	20.9469344368646	6.79608294536218	6.37263714314776	0.157719562027644	7.38394440735358	0.134537312918961	1.84905339707282	0.0127059967188846	0.976562147686355	0.000308068632922693	0.669030874570876	-0.0052083402240962
"68"	40	15.1488511384701	4.91493632036197	5.47546294364696	0.151671756917673	7.31138623517618	0.154227551872474	1.87383901524352	0.0147363359043057	0.962885651554242	0.000561326819164512	0.805971721973232	0.00738073966960168
"69"	45	9.23115681768184	2.99498275529055	5.25779941135929	0.118162622655269	7.74205534601396	0.15112001489495	1.78299606457638	0.01754499777843	0.929884628237657	0.000866335366141133	0.921417118720253	0.00117896627358759
"70"	50	7.45211039806178	2.41778387839383	5.39395691726278	0.110725215464471	7.87233164467685	0.194121794103251	1.71450373304405	0.0190288661377458	0.895246007677382	0.00080232181479822	1.08933915840479	0.000345228597932502
"71"	5	53.3164297608129	17.2981340108351	7.34643786869911	0.143678527461365	3.29858510839401	0.164574987890013	1.98911597207542	0.0165615502879906	0.999318570087224	2.84925652904726e-05	0.0926679691345589	0.0132458961542621
"72"	10	47.2348462843851	15.3250077822921	7.04189366811056	0.171506002325806	4.18762188882094	0.139065833866377	2.01015465567797	0.0110346241656122	0.998784176186532	2.64687138713608e-05	0.215590739176344	-0.0217881396145133
"73"	15	40.7791878351718	13.2305156063597	6.66047954789557	0.191472718274945	4.8575380310131	0.188114343690023	2.00516745404431	0.00880985111616347	0.99825930040236	3.75271356276769e-05	0.309239684391135	-0.0111867240876808
"74"	20	36.6629996242313	11.8950478039188	6.64117576661386	0.191019496646452	5.38521377030978	0.219030331353748	2.00782841618445	0.00809792306400338	0.997381252287392	4.81125003399214e-05	0.338863149565134	-0.0108036768564579
"75"	25	27.4761458776949	8.9144388629516	6.13013850267982	0.10281109531474	6.57529049990642	0.235125192478805	1.95970014979142	0.00851236568322229	0.995289286106474	6.7747192804917e-05	0.529790302284809	-0.00454697983787701
"76"	30	24.7950755707562	8.04458479226544	5.73729750275617	0.141171750740344	6.41009853031755	0.17846245737006	1.98992290574345	0.00875236962967167	0.993129684979667	0.000145351826208654	0.637575946742062	0.00783921322999299
